rest_name,rating,pro_offer,offer,del_time,category,cost_for_one,recent_orders_count
Sri Kaappi,3.5,,,35 min,"South Indian, Beverages",₹200 for one,150+ orders placed from here recently
Signature Bowls By Diner Cafe,-,,30% OFF,52 min,"South Indian, Fast Food, Chinese, North Indian, Beverages, Shake",₹200 for one,50+ orders placed from here recently
Mahi's Menu,New,,20% OFF,42 min,"Lebanese, North Indian, Biryani",₹150 for one,
Kongu Foods,-,,Flat 20% OFF,64 min,"Chinese, South Indian",₹150 for one,
Ueir Organic Foods,-,,,51 min,"Mithai, Street Food",₹150 for one,Follows all Max Safety measures to ensure your food is safe
Great Indian Khichdi,New,,Flat 30% OFF,51 min,North Indian,₹150 for one,
Gurus Adupadi,-,,20% OFF,33 min,South Indian,₹150 for one,75+ orders placed from here recently
Seazonbuds Restaurant,3.8,,Flat 20% OFF,33 min,"Tamil, South Indian, Chinese",₹150 for one,50+ orders placed from here recently
Shakeology,-,,30% OFF,45 min,"Beverages, Desserts, Fast Food",₹150 for one,50+ orders placed from here recently
Fakhri Fast Food,3.6,Pro extra 20% OFF,30% OFF,53 min,"Biryani, Rolls, North Indian",₹150 for one,
Momocita,-,,30% OFF,49 min,"Momos, Fast Food, Beverages",₹150 for one,125+ orders placed from here recently
Gt 12 To 12,3.2,,50% OFF,41 min,"Fast Food, Mughlai, Lebanese, Chinese",₹150 for one,225+ orders placed from here recently
Fabcafe By Fabindia,3.9,,60% OFF,42 min,"Beverages, North Indian, Wraps, Healthy Food",₹150 for one,125+ orders placed from here recently
Hotel Chinthamani,3.7,,,38 min,"South Indian, Chinese",₹150 for one,Restaurant partner follows WHO protocol
Pop Cornism,-,,,59 min,Fast Food,₹100 for one,
Sree Om Sakthi Sweets And Snacks,-,,30% OFF,29 min,"Mithai, Fast Food",₹100 for one,50+ orders placed from here recently
Urbhan Tadka,3.7,,15% OFF,38 min,"North Indian, Mughlai, Rolls",₹100 for one,200+ orders placed from here recently
Dot.Yum - Hotel Aloft Coimbatore,3.7,,Flat 15% OFF,48 min,"North Indian, Continental, Chinese, South Indian, Shake",₹100 for one,Follows all Max Safety measures to ensure your food is safe
Amminis,4.0,,10% OFF,44 min,"Mithai, Street Food",₹100 for one,
COC - Chicken Only Chicken,3.8,,20% OFF,39 min,"Fast Food, Lebanese",₹100 for one,150+ orders placed from here recently
Casse Croute,New,,,50 min,"Fast Food, Street Food, Chinese, Beverages",₹100 for one,
Victoria Homemade Blends,3.4,,,52 min,Beverages,₹100 for one,
Salem Settu Kadai,4.2,,,49 min,"South Indian, Fast Food",₹100 for one,225+ orders placed from here recently
Barbequeen Restaurant,New,,,48 min,"Biryani, BBQ, Arabian",₹100 for one,125+ orders placed from here recently
Moodys,-,,60% OFF,59 min,"Beverages, Pizza, Fast Food, Shake",₹100 for one,
Yara's Kitchen,-,,,50 min,"Fast Food, North Indian",₹100 for one,
Sri Aarvee Hotels,3.6,,,41 min,"North Indian, South Indian, Continental, Chinese, Fast Food, Ice Cream, Beverages, Shake",₹150 for one,
Kriya Snacks,3.9,,,47 min,Fast Food,₹150 for one,50+ orders placed from here recently
Majestic Hotel,3.7,,,46 min,"North Indian, South Indian, Arabian, Fast Food",₹150 for one,100+ orders placed from here recently
