rest_name,rating,pro_offer,offer,del_time,category,cost_for_one,recent_orders_count
Idly2Roti,New,,30% OFF,43 min,"Biryani, North Indian, South Indian, Chinese, BBQ",₹100 for one,1425+ orders placed from here recently
HMR - Grand Kitchen,4.1,,40% OFF,32 min,"South Indian, Hyderabadi, Chinese, Biryani, Desserts, Ice Cream, Beverages, Shake",₹100 for one,4125+ orders placed from here recently
Saravana's Kitchen,New,,20% OFF,40 min,"Biryani, North Indian, Chinese, Bengali",₹100 for one,375+ orders placed from here recently
Sree Annapoorna Sree Gowrishankar,4.2,,20% OFF,38 min,"South Indian, North Indian, Chinese, Beverages, Shake",₹100 for one,5150+ orders placed from here recently
Courtallam Border Rahmath Kadai,3.7,,60% OFF,37 min,"South Indian, Biryani",₹100 for one,2500+ orders placed from here recently
Sree Subbu Mess,4.2,,20% OFF,31 min,"South Indian, North Indian, Chinese",₹100 for one,2075+ orders placed from here recently
Kovai Biryani Hotel,3.9,,30% OFF,48 min,"Biryani, South Indian, Chinese, North Indian",₹100 for one,850+ orders placed from here recently
Abitha Biriyani Hotel,4.1,,Pro extra 15% OFF,43 min,"Biryani, South Indian",₹100 for one,12150+ orders placed from here recently
UBQ By Barbeque Nation,3.8,,50% OFF,43 min,"North Indian, Kebab, BBQ, Biryani",₹100 for one,725+ orders placed from here recently
Haribhavanam,4.0,,Pro extra 10% OFF,37 min,"Chettinad, Chinese, North Indian, South Indian, Seafood",₹200 for one,2350+ orders placed from here recently
Haribhavanam,4.0,,Pro extra 10% OFF,42 min,"Chettinad, Chinese, North Indian, South Indian, Seafood",₹200 for one,9925+ orders placed from here recently
Hotel Maa,3.9,,30% OFF,36 min,South Indian,₹200 for one,3625+ orders placed from here recently
Shree Anandhaas,4.2,,,35 min,"South Indian, North Indian, Chinese, Beverages",₹200 for one,1500+ orders placed from here recently
KFC,3.9,,40% OFF,41 min,"Burger, Fast Food, Beverages, Desserts",₹200 for one,4875+ orders placed from here recently
Dindigul Thalappakatti,3.8,,40% OFF,43 min,"Biryani, South Indian, Chinese, North Indian",₹200 for one,3200+ orders placed from here recently
Hotel Chola,3.7,,30% OFF,34 min,"South Indian, Chinese",₹200 for one,1950+ orders placed from here recently
Hotel Chola,4.1,,,42 min,"Fast Food, South Indian, Chinese",₹200 for one,2250+ orders placed from here recently
Domino's Pizza,4.1,,,30 min,"Pizza, Fast Food, Desserts, Beverages",₹200 for one,1725+ orders placed from here recently
Priya Hotel,3.9,Pro extra 25% OFF,50% OFF,39 min,South Indian,₹200 for one,4500+ orders placed from here recently
SS Hyderabad Biryani,4.4,,60% OFF,36 min,"Biryani, Chinese, Mughlai, North Indian, Seafood",₹200 for one,15775+ orders placed from here recently
Alif Paradise Biriyani,3.6,Pro extra 15% OFF,50% OFF,44 min,"Chinese, North Indian, Biryani, South Indian",₹200 for one,4175+ orders placed from here recently
Shree Aksshayam,4.0,,40% OFF,42 min,"South Indian, Chinese, Street Food, North Indian, Sandwich, Desserts, Beverages, Shake",₹100 for one,3475+ orders placed from here recently
Denmarrk Drive - Inn Restaurant,3.9,Pro extra 20% OFF,60% OFF,39 min,"North Indian, Chinese, Seafood",₹100 for one,8675+ orders placed from here recently
Sri Velan Chettinadu Mess,4.0,Pro extra 15% OFF,40% OFF,43 min,"South Indian, Chinese, North Indian",₹100 for one,13950+ orders placed from here recently
Burma Bhai Hotel,4.2,,20% OFF,34 min,"South Indian, North Indian, Chinese",₹100 for one,2175+ orders placed from here recently
Valarmathi Kongunaatu Samayal,4.2,Pro extra 15% OFF,20% OFF,42 min,"South Indian, Biryani",₹100 for one,6425+ orders placed from here recently
Thalassery Restaurant,4.1,,20% OFF,42 min,"South Indian, Chinese, North Indian, Arabian, Beverages",₹100 for one,2950+ orders placed from here recently
Malabar Restaurant,3.7,,10% OFF,34 min,"Kerala, South Indian",₹100 for one,1900+ orders placed from here recently
Burger King,4.1,,40% OFF,43 min,"Burger, Fast Food, Beverages",₹100 for one,3500+ orders placed from here recently
Chennai's Biriyani House,3.9,Pro extra 20% OFF,50% OFF,39 min,"South Indian, Biryani, North Indian, Chinese, Fast Food, Lebanese",₹100 for one,1900+ orders placed from here recently
Hotel Delhi Dharbarr,3.8,Pro extra 15% OFF,60% OFF,47 min,"South Indian, Chinese, Biryani, Kebab, North Indian, Lebanese",₹100 for one,7600+ orders placed from here recently
Adyar Ananda Bhavan,4.2,,40% OFF,29 min,"South Indian, Mithai, Street Food, Sandwich, Chinese, Fast Food, Desserts, Beverages",₹100 for one,4200+ orders placed from here recently
Ananth Bhavan,3.8,Pro extra 25% OFF,60% OFF,36 min,South Indian,₹100 for one,4225+ orders placed from here recently
Hotel Chola,4.0,,Flat 10% OFF,30 min,"Biryani, South Indian, Chinese, Fast Food",₹100 for one,950+ orders placed from here recently
A-1 Briyani Hotel,3.9,,,39 min,"Biryani, Chinese",₹100 for one,825+ orders placed from here recently
Shahi Grill,4.0,,,42 min,"Chettinad, North Indian, Chinese",₹100 for one,3100+ orders placed from here recently
Dindigul Venu Biryani,4.0,,30% OFF,39 min,"Biryani, South Indian, North Indian, Shake",₹100 for one,1825+ orders placed from here recently
Selvam Chettinad Mess,3.8,Pro extra 20% OFF,40% OFF,48 min,"South Indian, Chinese, Chettinad",₹100 for one,3450+ orders placed from here recently
Ammayi Veedu Pot Cook,4.0,,,32 min,"South Indian, Biryani",₹100 for one,1550+ orders placed from here recently
Ambur Star Briyani,4.0,,40% OFF,37 min,"Biryani, Chinese, North Indian, Seafood",₹100 for one,2025+ orders placed from here recently
FB Cakes,4.3,Pro extra 20% OFF,50% OFF,26 min,"Bakery, Desserts",₹100 for one,1550+ orders placed from here recently
Haaji Biriyani,3.9,,Flat 15% OFF,34 min,"North Indian, Chinese, Biryani, Chettinad, Arabian, Mughlai",₹100 for one,350+ orders placed from here recently
Sita Paani,3.8,,Flat 10% OFF,30 min,"North Indian, Mughlai, Chinese, Biryani, Seafood, Desserts, Beverages",₹100 for one,1075+ orders placed from here recently
Keventers - Milkshakes & Ice Creams,4.0,Pro extra 10% OFF,50% OFF,42 min,"Beverages, Ice Cream, Desserts, Shake",₹100 for one,325+ orders placed from here recently
GoParatha,4.4,,10% OFF,40 min,North Indian,₹100 for one,1625+ orders placed from here recently
Ponni Restaurant,4.0,,,28 min,"South Indian, Chinese, North Indian",₹150 for one,250+ orders placed from here recently
Cock Ra Co,4.2,,,39 min,"Chinese, North Indian, Seafood, Biryani, Desserts, Beverages",₹150 for one,700+ orders placed from here recently
MR Moorthy Chettinadu,3.8,Pro extra 20% OFF,30% OFF,32 min,"South Indian, Chettinad, Fast Food",₹150 for one,875+ orders placed from here recently
Hotel Kannappa,4.1,,10% OFF,43 min,"Chettinad, South Indian, Desserts, Shake",₹150 for one,2400+ orders placed from here recently
Biryani In Bucket,4.0,,20% OFF,33 min,"Biryani, Mangalorean, Fast Food, Desserts",₹150 for one,1200+ orders placed from here recently
Hotel Shri Chola,3.6,Pro extra 30% OFF,Flat 20% OFF,30 min,"Chinese, South Indian",₹150 for one,2400+ orders placed from here recently
ALAM Grilled Wraps,3.9,,50% OFF,40 min,"Wraps, BBQ, Fast Food, Lebanese, Shake",₹150 for one,825+ orders placed from here recently
Pizza2go4u,3.2,,,56 min,"Pizza, Burger, Sandwich",₹150 for one,850+ orders placed from here recently
Richy Rich,4.1,,60% OFF,30 min,"Ice Cream, Desserts, Fast Food, Shake",₹150 for one,2875+ orders placed from here recently
CakeBee,4.2,,Pro extra 20% OFF,45 min,"Bakery, Desserts",₹150 for one,725+ orders placed from here recently
Sri Angannan Biriyani Hotel,3.7,,30% OFF,41 min,"Biryani, South Indian, North Indian",₹150 for one,950+ orders placed from here recently
D.R. Biriyani,4.3,,,41 min,"Biryani, South Indian, Andhra",₹150 for one,700+ orders placed from here recently
Kanchan Kitchen's,4.0,Pro extra 25% OFF,₹50 OFF,41 min,"North Indian, Street Food, Desserts",₹150 for one,1700+ orders placed from here recently
Nightout,3.5,,40% OFF,57 min,"Chinese, South Indian, North Indian, Beverages",₹150 for one,2700+ orders placed from here recently
Meat And Eat,4.1,,50% OFF,42 min,"Burger, Biryani, Fast Food, Beverages",₹150 for one,1550+ orders placed from here recently
Hyderabad Biryani,4.2,,20% OFF,30 min,"Biryani, South Indian, Chinese, North Indian",₹150 for one,275+ orders placed from here recently
McDonald's,4.1,,Free McSpicy Fried Chicken - One Pc,49 min,"Burger, Fast Food, Beverages",₹150 for one,4150+ orders placed from here recently
RHR Restaurant,4.0,,60% OFF,38 min,"South Indian, Chinese, North Indian",₹150 for one,2925+ orders placed from here recently
Hotel Aryaas,4.1,,20% OFF,38 min,"South Indian, North Indian",₹150 for one,5025+ orders placed from here recently
Sharma Punjabi Restaurant,3.6,Pro extra 25% OFF,40% OFF,48 min,"Chinese, North Indian",₹150 for one,3325+ orders placed from here recently
Hotel Junior Kuppanna,3.7,,,40 min,"Biryani, South Indian, Chinese, Chettinad, Desserts, Beverages",₹150 for one,1000+ orders placed from here recently
Sree Ram Mess,4.1,,20% OFF,41 min,"South Indian, Chinese, Chettinad, Biryani, Fast Food",₹150 for one,3250+ orders placed from here recently
Sri Ganapathy Mess,4.0,,20% OFF,39 min,"South Indian, Fast Food, Chinese",₹150 for one,1425+ orders placed from here recently
Aasife Biriyani,3.8,,20% OFF,46 min,"North Indian, Chinese, Biryani, Shake",₹150 for one,1525+ orders placed from here recently
AMH Ambur Star Biriyani,4.3,,Flat 15% OFF,33 min,Biryani,₹100 for one,400+ orders placed from here recently
Hotel Chola,4.1,,Flat 10% OFF,34 min,"South Indian, Chettinad",₹100 for one,450+ orders placed from here recently
Behrouz Biryani,4.0,,At ₹249 only,43 min,"Biryani, Mughlai, Kebab",₹100 for one,1025+ orders placed from here recently
Sri Raja Biryani Hotel,4.0,,20% OFF,41 min,"South Indian, North Indian, Kebab, Biryani, Fast Food, Beverages, Tamil",₹100 for one,400+ orders placed from here recently
Geetha Cafe,4.0,,30% OFF,39 min,South Indian,₹100 for one,800+ orders placed from here recently
Hotel Penguin,4.1,,Pro extra 15% OFF,49 min,"South Indian, Chinese",₹100 for one,775+ orders placed from here recently
Hideout Cafe,3.7,Pro extra 25% OFF,30% OFF,52 min,"Coffee, Pizza, Fast Food, Sandwich, Burger, Beverages, Waffle",₹100 for one,1025+ orders placed from here recently
Pizza Hut,3.6,,30% OFF,46 min,"Pizza, Fast Food, Desserts",₹100 for one,675+ orders placed from here recently
MSR Biriyani Hotel,3.8,,20% OFF,42 min,"Biryani, North Indian, Chettinad",₹100 for one,725+ orders placed from here recently
Oyalo Pizza,4.0,,30% OFF,42 min,"Fast Food, Pizza",₹100 for one,325+ orders placed from here recently
Hangout,4.2,,40% OFF,51 min,"Arabian, Lebanese, Chinese, Biryani, Beverages, Shake",₹100 for one,5575+ orders placed from here recently
Shree Anandhaas Sweets & Snacks,4.4,,,30 min,"Mithai, Street Food, Desserts",₹100 for one,475+ orders placed from here recently
Kokkarako Biriyani And Fast Food,3.8,,20% OFF,39 min,"South Indian, Mughlai, Chinese, Biryani",₹100 for one,800+ orders placed from here recently
SRKP Chettinad Mess,4.0,Pro extra 15% OFF,20% OFF,46 min,"South Indian, Chinese, Biryani, North Indian",₹100 for one,5425+ orders placed from here recently
Zucca Pizzeria,3.4,,50% OFF,43 min,"Pizza, Fast Food, Pasta, Shake",₹100 for one,1950+ orders placed from here recently
Sri Kamalai Cockarackoo,3.8,,10% OFF,43 min,"South Indian, Chinese",₹100 for one,1625+ orders placed from here recently
Subway,4.3,,,39 min,"Healthy Food, Sandwich, Salad, Fast Food, Wraps, Beverages",₹100 for one,3125+ orders placed from here recently
Kwality Wall's Frozen Dessert And Ice Cream Shop,4.5,,40% OFF,34 min,"Ice Cream, Desserts",₹100 for one,300+ orders placed from here recently
Hotel Chola,3.8,,Flat 10% OFF,40 min,"South Indian, North Indian",₹100 for one,925+ orders placed from here recently
Yummy Restaurant,4.0,,20% OFF,42 min,"South Indian, North Indian, Chinese, Beverages",₹100 for one,2300+ orders placed from here recently
Salkara Family Restaurant,3.6,,Pro extra 25% OFF,45 min,"South Indian, Chinese, Andhra",₹100 for one,2325+ orders placed from here recently
Sri Amutha Surabi,3.9,,,38 min,South Indian,₹100 for one,1350+ orders placed from here recently
ibaco,4.3,,20% OFF,54 min,"Ice Cream, Desserts",₹100 for one,225+ orders placed from here recently
Mr Grill,4.0,,,36 min,"Arabian, South Indian",₹100 for one,150+ orders placed from here recently
Woow Biriyani,3.7,,30% OFF,37 min,"South Indian, Biryani, Chinese",₹100 for one,850+ orders placed from here recently
Aroma Bakery,4.1,,30% OFF,36 min,Bakery,₹100 for one,125+ orders placed from here recently
KCM,3.9,,,57 min,"Arabian, North Indian, Chinese, Chettinad, Biryani, Shake",₹100 for one,Restaurant partner follows WHO protocol
Sri Balaji Arul Jothi,4.1,,,40 min,"South Indian, Shake",₹100 for one,2625+ orders placed from here recently
Hotel Sri Nargani's,4.0,,,42 min,"South Indian, Chinese, Shake",₹100 for one,1550+ orders placed from here recently
Buhari Restaurant,3.4,Pro extra 20% OFF,50% OFF,43 min,"South Indian, Chinese, Biryani",₹100 for one,1825+ orders placed from here recently
Welcome Chettinadu Kitchen,3.9,,50% OFF,46 min,"South Indian, Chinese, North Indian",₹100 for one,1175+ orders placed from here recently
Hotel Sri Surya,4.0,,,42 min,"Chinese, South Indian, North Indian, Seafood, Beverages",₹100 for one,675+ orders placed from here recently
Barbeque Nation,3.9,,50% OFF,40 min,"BBQ, Chinese, North Indian, Beverages, Desserts",₹100 for one,550+ orders placed from here recently
Rock N Roll,3.7,,40% OFF,46 min,"Lebanese, Fast Food, Desserts, Juices, Beverages, Shake",₹100 for one,1700+ orders placed from here recently
Agarwal's The Sweet Shop,4.0,,,41 min,"Mithai, Street Food, North Indian, Sandwich, Desserts",₹100 for one,1975+ orders placed from here recently
Thirupathi Mess,4.2,,40% OFF,39 min,South Indian,₹100 for one,2375+ orders placed from here recently
Sms Hotels,3.8,,20% OFF,42 min,"North Indian, Chinese, South Indian, Biryani",₹200 for one,1550+ orders placed from here recently
The Cake Point,4.1,,30% OFF,61 min,Bakery,₹200 for one,100+ orders placed from here recently
House Of Pizzas,4.1,Pro extra 25% OFF,50% OFF,54 min,"Pizza, Fast Food, Beverages",₹200 for one,675+ orders placed from here recently
The Punjab Express,4.0,,10% OFF,40 min,"North Indian, Beverages",₹200 for one,1875+ orders placed from here recently
Vaskas Biriyani,4.0,Pro extra 25% OFF,40% OFF,46 min,"Biryani, South Indian, Chinese",₹200 for one,1150+ orders placed from here recently
Sree Velu Biriyani,4.0,,20% OFF,42 min,"Biryani, North Indian, Chinese",₹200 for one,600+ orders placed from here recently
Sree Subbu Mess,4.1,,30% OFF,41 min,"South Indian, North Indian, Chinese",₹200 for one,1275+ orders placed from here recently
Royal Biriyani & Fast Food,3.8,Pro extra 20% OFF,10% OFF,42 min,"Biryani, Chinese, Chettinad, North Indian, Mughlai",₹200 for one,825+ orders placed from here recently
Pandiyanadu,3.7,,40% OFF,43 min,"South Indian, Biryani, Chinese",₹200 for one,1400+ orders placed from here recently
MI - Pizza,3.6,Pro extra 30% OFF,50% OFF,54 min,"Pizza, Fast Food, Desserts, Beverages, Shake",₹200 for one,225+ orders placed from here recently
Taco Bell,3.8,,60% OFF,41 min,"Mexican, Fast Food, Wraps, Beverages",₹200 for one,1200+ orders placed from here recently
Hotel Atchaya,4.0,,,40 min,"Chettinad, South Indian, Chinese, North Indian",₹200 for one,775+ orders placed from here recently
Hotel Sri Senthura Pure Veg,3.5,,,40 min,"South Indian, Chinese, North Indian",₹50 for one,475+ orders placed from here recently
Sree Annapoorna Sweets & Savouries,4.3,,,24 min,"Mithai, Desserts, Street Food",₹50 for one,325+ orders placed from here recently
Agarwal Sweet Palace,3.9,,20% OFF,45 min,"Mithai, Street Food",₹50 for one,2950+ orders placed from here recently
Daddy Mummy Kerala Restaurant,3.6,,20% OFF,45 min,"Kerala, Chettinad, Biryani, Chinese",₹50 for one,700+ orders placed from here recently
Biggies Burger,3.8,,30% OFF,47 min,"Burger, Fast Food, Beverages",₹50 for one,975+ orders placed from here recently
EatFit,4.1,,50% OFF,41 min,"Healthy Food, North Indian, Biryani, Pizza, Burger",₹50 for one,2000+ orders placed from here recently
The Red Box,3.8,,40% OFF,49 min,"Chinese, Desserts",₹50 for one,1425+ orders placed from here recently
Street Arabiya,4.1,,20% OFF,45 min,"BBQ, Kebab, Lebanese",₹50 for one,2625+ orders placed from here recently
1C Dining,3.7,,30% OFF,41 min,"South Indian, Chinese, Lebanese, Seafood, Shake",₹50 for one,1025+ orders placed from here recently
Dood's Bite's,3.5,Pro extra 25% OFF,50% OFF,51 min,"Fast Food, Sandwich, Italian, BBQ, Lebanese, Mexican, Desserts, Beverages",₹50 for one,1600+ orders placed from here recently
Sri Krishna Bhavan Restaurant,3.9,,40% OFF,39 min,"North Indian, Chinese, Shake",₹50 for one,950+ orders placed from here recently
FB Cakes,4.0,Pro extra 20% OFF,60% OFF,40 min,"Bakery, Desserts",₹50 for one,400+ orders placed from here recently
Bakingo,3.9,,50% OFF,38 min,"Bakery, Desserts, Shake",₹250 for one,550+ orders placed from here recently
NIC - Natural Ice Creams,4.5,Pro extra 15% OFF,50% OFF,36 min,"Ice Cream, Desserts",₹250 for one,1550+ orders placed from here recently
The Belgian Waffle Co.,4.4,,20% OFF,66 min,"Desserts, Beverages, Waffle",₹250 for one,150+ orders placed from here recently
Covai Anganan Biriyani House,New,,,38 min,"Biryani, South Indian",₹250 for one,
Kovai Royal Biriyani,3.9,,30% OFF,36 min,"South Indian, Biryani, Fast Food",₹250 for one,300+ orders placed from here recently
Hotel Safaire,3.8,,30% OFF,42 min,"Seafood, Chinese, Mughlai, Kerala, Arabian",₹250 for one,1350+ orders placed from here recently
Selvamani Canteen,4.1,Pro extra 15% OFF,10% OFF,41 min,"South Indian, Biryani",₹250 for one,1025+ orders placed from here recently
Polar Bear,4.4,,,33 min,"Ice Cream, Desserts, Shake, Beverages",₹250 for one,550+ orders placed from here recently
Fipola Grill House,4.0,,30% OFF,43 min,"BBQ, Fast Food",₹250 for one,475+ orders placed from here recently
Pannaiyar Biriyani,3.4,,60% OFF,52 min,"Biryani, South Indian, Mughlai, Seafood, Tamil",₹250 for one,1325+ orders placed from here recently
Amma's Pastries,3.7,,10% OFF,31 min,"Bakery, Desserts",₹250 for one,75+ orders placed from here recently
Junior Sri Engannan Biriyani,3.4,Pro extra 25% OFF,Flat 20% OFF,46 min,"Biryani, South Indian, North Indian, Chinese",₹250 for one,625+ orders placed from here recently
Sri Trupthi Mess,4.1,Pro extra 25% OFF,10% OFF,38 min,"South Indian, Chinese",₹50 for one,1600+ orders placed from here recently
Shree Pappu Restaurant,3.8,,20% OFF,53 min,"Biryani, North Indian, Chinese, Fast Food",₹50 for one,125+ orders placed from here recently
Kanakathara,3.7,,20% OFF,36 min,"Chettinad, Chinese, Biryani, Beverages",₹50 for one,400+ orders placed from here recently
Faasos,3.9,Pro extra 10% OFF,50% OFF,41 min,"Fast Food, Rolls, Wraps, Shake",₹50 for one,1200+ orders placed from here recently
Boomerang,4.1,,,38 min,"Desserts, Ice Cream, Beverages",₹50 for one,50+ orders placed from here recently
Agarwal Sweet Palace,4.2,,60% OFF,47 min,"Fast Food, Mithai, Street Food, North Indian, Desserts",₹50 for one,1725+ orders placed from here recently
LunchBox - Meals and Thalis,3.8,Pro extra 10% OFF,40% OFF,39 min,"North Indian, Healthy Food, Shake",₹50 for one,725+ orders placed from here recently
Sri Mookambika Mess,3.8,,,32 min,"Kerala, South Indian",₹50 for one,400+ orders placed from here recently
All Seasons Vegetarian Delecacies,3.6,,20% OFF,45 min,"South Indian, North Indian, Chinese, Biryani",₹50 for one,350+ orders placed from here recently
Chitra Homely Foods,4.0,,,28 min,South Indian,₹50 for one,475+ orders placed from here recently
My Place Restaurant,4.2,,,47 min,"North Indian, South Indian, Chinese, Desserts, Beverages, Shake",₹50 for one,1400+ orders placed from here recently
Hotel Arrunnachala,3.9,,10% OFF,40 min,"North Indian, Chinese, Fast Food, Shake",₹50 for one,475+ orders placed from here recently
Taste Of Malabar,4.0,,10% OFF,38 min,"South Indian, Chinese, Kerala, Mughlai, North Indian, Shake",₹150 for one,1650+ orders placed from here recently
Covai Grills,3.9,,20% OFF,48 min,"South Indian, Chinese",₹150 for one,625+ orders placed from here recently
Nin Hao,4.0,Pro extra 15% OFF,50% OFF,48 min,"Chinese, Seafood",₹150 for one,2100+ orders placed from here recently
Friends Chettinad Mess,4.0,,10% OFF,32 min,"South Indian, Chettinad, Biryani",₹150 for one,725+ orders placed from here recently
Hotel Raahava Chettinad,3.8,,30% OFF,41 min,"North Indian, South Indian, Chinese, Chettinad",₹150 for one,400+ orders placed from here recently
Sri Krishna Sweets,4.1,,,31 min,"Mithai, Desserts",₹150 for one,
Kovai Juice Corner,4.0,,10% OFF,49 min,"Beverages, Fast Food",₹150 for one,575+ orders placed from here recently
Arunachala,3.6,,10% OFF,40 min,"Andhra, Chinese, North Indian, South Indian, Shake",₹150 for one,575+ orders placed from here recently
Linda,4.1,,Pro extra 30% OFF,56 min,"Fast Food, Sandwich, Burger, Desserts, Beverages, Shake",₹150 for one,475+ orders placed from here recently
Velu Nayaker Mess,3.8,,30% OFF,42 min,"South Indian, Chinese",₹150 for one,475+ orders placed from here recently
RHR Restaurant,3.9,,10% OFF,44 min,"South Indian, North Indian, Chinese",₹150 for one,950+ orders placed from here recently
LMN Hajiyaar Biriyani Hotel,4.1,,,41 min,"Biryani, South Indian, Chinese",₹150 for one,500+ orders placed from here recently
Falooda Hut,3.8,,10% OFF,42 min,"Desserts, Ice Cream, Beverages, Shake",₹100 for one,100+ orders placed from here recently
Bon Bon,4.2,Pro extra 30% OFF,20% OFF,32 min,"Ice Cream, Desserts, Beverages, Shake",₹100 for one,150+ orders placed from here recently
MG Mess,4.3,,,41 min,South Indian,₹100 for one,275+ orders placed from here recently
Alam BBQ & Kebabs,3.7,Pro extra 25% OFF,40% OFF,50 min,"BBQ, Italian, Kebab, Shake",₹100 for one,325+ orders placed from here recently
Aligarh House,3.7,,50% OFF,31 min,"Biryani, North Indian, Mughlai",₹100 for one,700+ orders placed from here recently
Chennai Pazhamudir Nilayam,4.1,,30% OFF,42 min,"Beverages, Juices, Shake",₹100 for one,725+ orders placed from here recently
Bowl'd,4.2,,20% OFF,45 min,South Indian,₹100 for one,1000+ orders placed from here recently
Chai Kings,3.3,,,52 min,"Beverages, Tea",₹100 for one,125+ orders placed from here recently
The Side Dish Company,4.1,,50% OFF,44 min,"South Indian, Chinese, Shake",₹100 for one,1125+ orders placed from here recently
Miami Juice World,3.8,,30% OFF,41 min,"Juices, Beverages, Fast Food, Desserts, Shake",₹100 for one,450+ orders placed from here recently
Kalapriya Takeaway Restaurant,3.8,,,56 min,Biryani,₹100 for one,250+ orders placed from here recently
Hotel Sri Lakshmi Bhavnam,3.9,,30% OFF,35 min,South Indian,₹100 for one,1000+ orders placed from here recently
Burger Bytes,3.4,Pro extra 30% OFF,30% OFF,46 min,"Fast Food, Burger, Sandwich, Beverages, Shake",₹150 for one,
Amul Ice Cream,4.4,,,35 min,"Ice Cream, Desserts",₹150 for one,75+ orders placed from here recently
MH Biriyani,4.0,,,61 min,"South Indian, Biryani",₹150 for one,75+ orders placed from here recently
Arthi Chettinad,3.6,,40% OFF,42 min,South Indian,₹150 for one,400+ orders placed from here recently
Red Door,3.6,,60% OFF,42 min,"Fast Food, Beverages",₹150 for one,625+ orders placed from here recently
Yumlane Pizza,3.9,,40% OFF,28 min,"Pizza, Desserts, Pasta, Beverages, Ice Cream",₹150 for one,200+ orders placed from here recently
JR Cakes & Bakes,4.1,,20% OFF,40 min,"Bakery, Desserts, Shake",₹150 for one,2025+ orders placed from here recently
SR Kokarakko,4.0,,10% OFF,30 min,"Biryani, Fast Food",₹150 for one,225+ orders placed from here recently
The Good Bowl,4.0,Pro extra 10% OFF,40% OFF,42 min,"North Indian, Asian, Biryani, Shake",₹150 for one,375+ orders placed from here recently
Big Fat Burger,4.1,,50% OFF,43 min,"Burger, Sandwich, Wraps, Fast Food, Desserts, Ice Cream, Beverages, Shake",₹150 for one,625+ orders placed from here recently
Vijay Chettinad Mess,3.9,,10% OFF,38 min,Biryani,₹150 for one,250+ orders placed from here recently
Garrison Tavern,3.4,,50% OFF,49 min,"Lebanese, Chinese, Arabian",₹150 for one,1150+ orders placed from here recently
Burger Tree,4.2,,,50 min,"Fast Food, Burger, Sandwich, Desserts, Beverages, Shake",₹200 for one,1050+ orders placed from here recently
CakeZone,3.9,Pro extra 10% OFF,60% OFF,50 min,"Bakery, Desserts",₹200 for one,825+ orders placed from here recently
Yari,4.1,,10% OFF,44 min,"North Indian, Chinese, Street Food, Fast Food, Beverages, Shake",₹200 for one,1075+ orders placed from here recently
The Biryani Life,3.3,Pro extra 10% OFF,40% OFF,36 min,"Biryani, North Indian",₹200 for one,225+ orders placed from here recently
A To Z Palamudir Nilayam,4.2,,Flat 20% OFF,22 min,"Salad, Beverages, Shake",₹200 for one,275+ orders placed from here recently
Lakshmi Mess,4.0,,30% OFF,46 min,"South Indian, Chinese, Biryani",₹200 for one,575+ orders placed from here recently
Al Maas Biriyani House,3.9,,40% OFF,40 min,Biryani,₹200 for one,500+ orders placed from here recently
Raj Bhavan's Lunchbox,3.7,,50% OFF,38 min,"North Indian, South Indian, Chinese, Kebab, Biryani",₹200 for one,500+ orders placed from here recently
Shree Aboorvaas Pure Veg Restaurant,3.9,,20% OFF,40 min,"South Indian, North Indian, Chinese, Fast Food, Street Food",₹200 for one,350+ orders placed from here recently
Thambiyannan Biriyani Hotel,3.5,Pro extra 25% OFF,20% OFF,33 min,"Biryani, South Indian",₹200 for one,625+ orders placed from here recently
Thepan Tiffin Stall,4.1,,10% OFF,42 min,South Indian,₹200 for one,350+ orders placed from here recently
Live Cakes,4.2,,20% OFF,43 min,"Bakery, Fast Food, Desserts",₹200 for one,475+ orders placed from here recently
Mr Kolambu,4.1,,,37 min,South Indian,₹100 for one,200+ orders placed from here recently
Boom Cafe,3.6,,50% OFF,41 min,"Cafe, Fast Food, Beverages",₹100 for one,450+ orders placed from here recently
Jeep BBQ,3.6,,50% OFF,53 min,"BBQ, Fast Food, Sandwich, Burger",₹100 for one,525+ orders placed from here recently
Fort View Multicusine Restaurant,4.2,,10% OFF,36 min,"South Indian, Biryani, Chinese",₹100 for one,150+ orders placed from here recently
The London Shakes,3.7,Pro extra 30% OFF,40% OFF,53 min,"Beverages, Fast Food",₹100 for one,300+ orders placed from here recently
IMI Biriyani Hut,3.9,,50% OFF,37 min,"South Indian, Biryani",₹100 for one,725+ orders placed from here recently
Hotel Sri Madurai Meenakshi,4.0,,30% OFF,53 min,"Chettinad, Chinese, South Indian",₹100 for one,275+ orders placed from here recently
Velan Kaappi,3.9,Pro extra 30% OFF,50% OFF,36 min,"Beverages, Tea, Coffee",₹100 for one,975+ orders placed from here recently
Hidden Fork,4.0,,10% OFF,60 min,"Burger, Sandwich, Fast Food, Pizza, Beverages, Shake",₹100 for one,550+ orders placed from here recently
Bamboo - Pan Asian,4.3,,10% OFF,46 min,Chinese,₹100 for one,825+ orders placed from here recently
Just Bake,4.4,,60% OFF,36 min,"Bakery, Desserts",₹100 for one,525+ orders placed from here recently
Side Dish Factory,3.6,,50% OFF,41 min,"Chinese, Fast Food",₹100 for one,525+ orders placed from here recently
Oven Fresh,4.0,,20% OFF,42 min,"Bakery, Desserts",₹400 for one,375+ orders placed from here recently
Original Nellai Periya Lala Corner Sweets,4.0,,,24 min,"Mithai, Street Food",₹400 for one,
